order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date
PbW1A2IELHIL,H0nuPXkLsYFV,delivered,2018-07-19 19:17:20,2018-07-19 19:50:08,2018-07-30 16:54:44,2018-08-16
hdpKYesvGZeq,3QWW2QATQoks,delivered,2018-08-10 15:08:54,2018-08-11 02:50:24,2018-08-31 23:58:27,2018-08-16
70G4cTVwm38h,WnCydkx96ul3,canceled,2018-07-04 16:05:56,2018-07-06 02:55:16,,2018-08-22
D2X7rxN9EsBw,5aMM3LwvZE6p,delivered,2018-07-11 19:55:14,2018-07-11 20:10:12,2018-07-21 10:41:27,2018-08-01
uApWp6b4k8Y5,nOJb8kxjeqMu,delivered,2018-07-03 18:41:20,2018-07-05 16:10:30,2018-07-11 18:18:38,2018-07-30
7L8qUUgsbhXY,WnCydkx96ul3,delivered,2018-07-24 18:36:55,2018-07-24 18:45:13,2018-07-26 15:38:49,2018-08-01
AHI2VGgmwKwA,0t5EtElaEA8e,delivered,2018-06-18 11:15:23,2018-06-19 03:36:54,2018-06-22 18:53:47,2018-07-05
0gxtU32XLhDR,tc4f86hhYwpB,delivered,2018-05-08 21:04:24,2018-05-08 21:15:28,2018-05-21 20:48:51,2018-05-29
NqkFWmoEkOni,u1gplSGJr1m5,delivered,2018-08-16 10:02:10,2018-08-16 10:15:17,2018-08-24 19:22:01,2018-09-11
csNKQHT4LjSP,txfGakDnlUkr,delivered,2018-07-25 17:37:28,2018-07-27 02:24:17,2018-08-14 23:41:17,2018-08-21
ff6LV2J7cd1m,Hv2CJ4UgONx7,delivered,2018-07-25 16:12:07,2018-07-27 02:24:26,2018-07-30 17:57:35,2018-08-02
2DhVqmEuKWsy,aptoeeHlIxbP,delivered,2018-07-02 16:31:06,2018-07-02 16:50:20,2018-07-06 18:36:26,2018-07-27
VBLoTukvL7qH,Df666drgmPfx,delivered,2018-08-06 18:16:20,2018-08-06 18:30:20,2018-08-10 19:21:51,2018-08-14
BtFtgxewQU3o,0XrxfhxhjXYE,delivered,2018-05-13 12:09:17,2018-05-13 12:32:32,2018-05-18 21:27:56,2018-06-18
aMzeNC1KCVOQ,I94cAhDO80TM,delivered,2018-08-01 17:03:52,2018-08-01 17:15:24,2018-08-03 20:18:48,2018-08-06
dZuZBawSN57o,nyVwdmiDhhG6,delivered,2018-08-19 16:28:17,2018-08-20 12:30:07,2018-08-29 01:05:28,2018-09-04
FyxzH1mhMBKM,YeOwwF3fdWgu,delivered,2018-08-01 22:58:06,2018-08-01 23:10:09,2018-08-09 14:34:58,2018-08-14
4BKIy9ysy6d8,ROKLVaGH8de0,delivered,2018-07-09 16:08:36,2018-07-09 16:25:13,2018-07-11 19:37:43,2018-07-23
PhYGGGCiQHKD,e2pbPEjaeR6m,delivered,2018-07-25 13:25:22,2018-07-25 13:35:17,2018-08-01 18:34:34,2018-08-22
39TPZFziHhP2,liwpNZL3DOZJ,delivered,2018-08-12 22:48:32,2018-08-13 22:45:11,2018-08-20 18:07:04,2018-08-29
CtAfWF8UkMCP,KC8GYZZaxJut,delivered,2018-06-26 08:06:50,2018-06-26 08:18:47,2018-06-27 13:31:45,2018-07-11
qwPG85b508Td,MqcXipRNMkYz,delivered,2018-05-19 19:34:15,2018-05-19 23:30:31,2018-06-07 20:03:38,2018-06-08
SZIajujwn1Oo,8Y14XQoJK8Ha,delivered,2018-08-11 14:59:32,2018-08-11 15:15:14,2018-08-17 23:27:53,2018-08-30
PULq31I4UKo4,kgaRisbWkR8S,delivered,2018-07-15 21:00:44,2018-07-15 21:15:19,2018-07-25 21:41:16,2018-08-02
Y0bGpsoT1Vhh,wlZXim18Y5wp,delivered,2018-08-15 11:25:10,2018-08-15 11:44:05,2018-08-28 00:21:58,2018-09-18
lq2t00ICp3Em,DZQwRhEhGk0D,delivered,2018-05-14 12:05:22,2018-05-14 12:39:45,2018-05-23 20:04:19,2018-06-04
dix4hRLqxcfL,fvrCaNELssNc,delivered,2018-05-20 17:07:44,2018-05-22 07:55:14,2018-06-04 16:46:53,2018-06-22
tPTCcbVjRfc3,weHkbjfrV556,delivered,2018-06-02 23:40:57,2018-06-02 23:50:23,2018-06-11 16:28:36,2018-07-11
TGt9bWN79Nqz,qkLJoaytabZ0,delivered,2018-07-25 21:24:26,2018-07-25 21:35:15,2018-08-09 01:28:22,2018-08-17
KuKfiKKJLTwK,jNtpBPyIRlVh,delivered,2018-08-08 12:05:49,2018-08-09 15:45:13,2018-08-30 19:02:55,2018-09-12
0HR2Bu3Sp4gp,QCRBg1XfOOjC,delivered,2018-08-15 16:51:43,2018-08-15 17:05:10,2018-08-27 17:31:31,2018-08-31
3BfkNOSXE9fK,G1xpdgzhaH2L,delivered,2018-07-17 08:42:24,2018-07-17 08:50:17,2018-08-01 20:35:03,2018-08-09
GRirh1b2z6Y3,mdegAh8lW0zh,delivered,2018-07-13 09:02:22,2018-07-14 02:45:11,2018-08-01 19:07:03,2018-08-20
Fl1jNEVLIouI,5S0TZfFeWPJY,delivered,2018-07-01 11:19:16,2018-07-01 11:30:26,2018-07-12 20:04:18,2018-07-30
tVdaOadCApSM,BDzndD4z9i8L,delivered,2018-08-29 08:46:11,2018-08-29 09:04:10,2018-08-30 21:54:45,2018-09-11
G07cmuGKW2nd,a6lBUx2AmE65,delivered,2018-05-08 09:03:18,2018-05-08 09:15:32,2018-05-14 14:55:19,2018-06-14
2Tdr9eDhdtIu,it7WXIogmstw,delivered,2018-08-16 13:22:21,2018-08-16 13:35:45,2018-08-24 18:57:37,2018-09-03
MsJrJ9vfOmvF,dxaR7zuMZLgv,delivered,2018-07-31 13:52:24,2018-08-01 03:31:42,2018-08-07 22:32:47,2018-08-20
2YWdoyxm7ge9,q1JW0zZ8t77Z,delivered,2018-05-06 22:38:53,2018-05-08 19:52:56,2018-05-15 22:18:36,2018-06-01
kF1ka6uV5YnM,iWDrWao0rL2O,delivered,2018-07-09 08:48:00,2018-07-09 09:15:13,2018-07-23 21:26:55,2018-08-06
jkbVqP4aWneg,AXZAKk41nNaN,delivered,2018-08-03 19:33:35,2018-08-03 20:04:14,2018-08-07 11:32:11,2018-08-08
dxOwaxOE1nT0,OfMjFMFtGloy,delivered,2018-06-20 10:39:52,2018-06-20 11:08:25,2018-06-28 10:28:31,2018-07-20
ulZ0mI7peyf7,rmFc8ZT8QAFE,delivered,2018-05-17 09:59:25,2018-05-17 11:31:49,2018-06-09 17:22:21,2018-06-18
b2u1yVa2LdNK,1HB2U2sb6O4I,delivered,2018-05-21 09:15:31,2018-05-21 09:36:59,2018-06-24 17:28:45,2018-06-08
KWuqSsip5IPL,w4gVmc7ZPB7J,delivered,2018-05-29 00:08:35,2018-05-30 02:15:21,2018-06-12 16:38:47,2018-07-12
gwGItwZIp6b9,NDyqAszwpmxL,delivered,2018-05-05 14:00:57,2018-05-05 14:13:53,2018-05-11 21:16:40,2018-06-06
RAwGupGDXwd5,SkyzvQhclOjl,delivered,2018-07-12 19:55:55,2018-07-13 08:31:25,2018-07-16 15:32:20,2018-08-02
4lSWIJZYPkdj,7TsE2duwQ56v,delivered,2018-07-05 18:35:51,2018-07-05 18:51:02,2018-07-13 18:21:34,2018-07-31
bOw1sP6xIXEv,0t5EtElaEA8e,delivered,2018-06-18 21:49:23,2018-06-18 22:16:05,2018-06-22 14:51:49,2018-06-28
uleJoXLnjRWP,VBhPvelXEBtq,delivered,2018-07-03 13:11:13,2018-07-05 16:32:52,2018-07-10 17:47:39,2018-07-23
NwV6qaWsqsqx,FIE7qnYGWctO,delivered,2018-07-18 13:30:45,2018-07-19 15:30:27,2018-07-31 18:58:33,2018-08-03
DtKD3sdpBpwJ,m3LhGnVaiRSE,delivered,2018-05-02 10:15:02,2018-05-02 10:34:27,2018-05-04 18:32:21,2018-05-15
1pVYIkz0eQfb,Ct3CALEeBTfd,delivered,2018-07-29 19:16:09,2018-07-29 19:25:11,2018-08-01 23:38:27,2018-08-06
CjC2wYcYXNMR,uiQXR8amJUZ5,delivered,2018-06-10 19:09:32,2018-06-10 19:37:55,2018-06-21 18:38:35,2018-07-03
IKNPNRlaS4PH,J2eUP3qQRX21,delivered,2018-06-13 16:26:28,2018-06-13 17:00:13,2018-06-26 21:44:26,2018-07-26
3wKSoQagZseT,UJAKUaIGlRn3,delivered,2018-06-29 11:02:18,2018-06-29 11:15:13,2018-07-03 19:25:44,2018-07-23
8eWU8keN9FXT,JKRYqZKJtJZE,delivered,2018-05-17 18:32:53,2018-05-18 00:37:28,2018-05-23 13:04:02,2018-06-04
zBGSaqk6atNi,eQaIzzVXvSVe,delivered,2018-06-07 22:32:24,2018-06-07 22:55:51,2018-06-18 14:31:22,2018-07-17
SU37F2XoUDJm,0EzNwB0wYA0w,delivered,2018-08-10 19:29:13,2018-08-10 19:44:33,2018-08-21 13:33:06,2018-09-03
zMDPbvlnXGPI,Eyr64dIilcgM,delivered,2018-06-26 19:44:42,2018-06-26 19:55:09,2018-07-03 15:56:50,2018-07-26
yFIPmG5Qso5x,GtjbUb6VvhUd,delivered,2018-08-02 21:24:24,2018-08-02 21:35:18,2018-08-21 00:28:39,2018-08-16
TOB9XNU1gV1f,ROKLVaGH8de0,delivered,2018-05-09 14:47:10,2018-05-09 15:37:06,2018-05-28 17:31:28,2018-06-13
2bWGX09hpCzq,cZEYe5ZKG6Ze,delivered,2018-05-08 12:47:37,2018-05-08 13:09:35,2018-05-15 19:42:20,2018-06-12
w2wruPCem5Jb,WZCFk7SWMFFm,delivered,2018-06-15 13:08:55,2018-06-15 13:44:08,2018-06-21 20:05:03,2018-07-05
OFGFuIiesVzM,A5ypt74Dm5ED,delivered,2018-06-01 16:50:43,2018-06-01 17:13:27,2018-06-19 18:24:49,2018-07-13
4NRNwKsOveDT,oyP6xO7xWbXU,delivered,2018-06-03 11:03:37,2018-06-03 11:15:16,2018-06-13 22:38:38,2018-07-25
Dp4K8yh2l2kZ,PZ5SLcuCD4Yu,delivered,2018-06-10 21:28:17,2018-06-11 21:40:37,2018-06-14 16:34:53,2018-06-28
cgMyKDbuomMt,4A1nimyUtrUc,delivered,2018-08-15 19:12:20,2018-08-15 19:25:12,2018-08-24 17:04:23,2018-09-12
QwSOLcN5DDBN,f0McnuJJg7y7,delivered,2018-07-01 14:01:27,2018-07-05 16:22:47,2018-07-20 17:11:48,2018-07-27
1bZN4leiyzZ4,bsKMNBf3TtKo,delivered,2018-05-01 18:06:41,2018-05-01 18:15:17,2018-05-14 23:40:58,2018-06-05
DUCbyz8Y4PXF,1GWMLfIMdj4c,delivered,2018-08-01 06:05:07,2018-08-01 06:15:08,2018-08-13 21:36:30,2018-08-29
331m4OTrDpnd,raO6T3ZRgYFO,delivered,2018-05-10 22:19:03,2018-05-10 22:35:14,2018-05-17 21:54:38,2018-06-06
jarjuWpL85e5,fvrCaNELssNc,delivered,2018-07-24 15:47:52,2018-07-26 03:15:22,2018-07-27 17:58:45,2018-08-01
lajv1hDHncw5,FIE7qnYGWctO,delivered,2018-05-07 15:24:51,2018-05-08 03:55:28,2018-05-18 22:46:49,2018-05-24
XGCdHW22bmYg,iVkQDCNUtDjj,delivered,2018-06-28 10:29:06,2018-06-28 10:50:23,2018-07-05 22:08:23,2018-07-23
r3hALQT93EsB,4GshpMTgfphC,delivered,2018-07-21 18:20:23,2018-07-21 18:30:16,2018-08-05 17:06:22,2018-08-14
BEzrXmUJ6jSb,PXqEjREEffav,delivered,2018-05-03 16:25:29,2018-05-05 03:10:14,2018-05-24 15:35:00,2018-05-29
AJotPdRaKwyY,pl1k9l5U9S8e,delivered,2018-06-07 13:58:13,2018-06-07 14:20:33,2018-06-13 20:08:45,2018-07-03
JEVjyOfz3vRF,4dXpFDzeEjZN,delivered,2018-06-03 07:38:50,2018-06-03 07:55:08,2018-06-05 22:22:31,2018-07-11
URhgir8jvpA7,JQKGVe0QMCMH,delivered,2018-08-04 20:42:36,2018-08-04 20:55:24,2018-08-09 18:16:39,2018-08-16
ZDuilm8eBY8K,SGhJNvVg9Xi0,delivered,2018-08-07 16:07:04,2018-08-07 16:15:27,2018-08-16 18:58:47,2018-08-14
AQvbQzBW9VJT,KYzOqTmXicFK,delivered,2018-05-01 20:34:04,2018-05-01 20:55:47,2018-05-14 17:47:52,2018-05-28
geEz6xDLz5yY,lJEOyEyJeAQ3,delivered,2018-08-15 10:59:22,2018-08-15 11:24:10,2018-08-21 17:21:15,2018-08-29
AICU9CQf9zNO,ZLVSgLGIBt50,delivered,2018-06-25 08:44:28,2018-06-26 05:37:31,2018-07-02 19:26:55,2018-07-25
MxHsuryS8LDA,E5gUJ12UZIcN,delivered,2018-06-18 16:45:05,2018-06-18 17:01:57,2018-06-20 20:26:49,2018-06-28
63ky5p0OERua,JpUSpyQNnUFU,delivered,2018-08-01 12:07:12,2018-08-01 13:04:17,2018-08-07 22:21:51,2018-08-24
zc2WqkEwtq8S,KWppLJ3KkTqt,delivered,2018-06-22 15:56:33,2018-06-26 07:13:02,2018-07-11 14:26:34,2018-07-23
3cjwQmNcyEID,GyvnEFzj1eSn,delivered,2018-06-19 16:16:10,2018-06-19 16:45:36,2018-06-25 15:17:48,2018-07-13
alOioG9itvvW,BW8Lo9R5OCBF,delivered,2018-05-11 16:15:55,2018-05-11 16:31:35,2018-05-19 15:03:38,2018-06-11
glzxn5Tdk8dr,9U87V4FA6owh,delivered,2018-07-13 21:05:56,2018-07-13 21:24:06,2018-07-26 17:16:44,2018-08-08
1MkWBKhNk2G2,yZHCoK29gkLY,delivered,2018-06-03 22:26:08,2018-06-03 22:35:21,2018-06-08 20:54:18,2018-06-28
ITKgY0urYeu7,uWLhlCUxUAvB,delivered,2018-05-11 16:10:14,2018-05-11 16:31:37,2018-05-16 14:08:01,2018-05-24
sOiwCjCP0BHJ,T1Wpepr3o18t,delivered,2018-08-23 03:31:57,2018-08-23 03:45:07,2018-08-27 23:58:39,2018-09-05
0YFgarYz9KnD,4OtrRICCPJjt,delivered,2018-05-17 00:24:13,2018-05-17 00:35:17,2018-05-21 17:15:47,2018-06-06
GS7TlrcV9EiI,3V9lD01x1gJn,delivered,2018-06-04 22:46:18,2018-06-04 23:10:42,2018-06-13 20:08:29,2018-07-16
tbLoJTFmN51K,ra74PYXYSXiJ,delivered,2018-07-17 15:04:48,2018-07-17 15:21:20,2018-07-19 15:56:37,2018-07-25
uCLVoajqUFe1,zf5qacELJXoq,delivered,2018-06-19 14:23:52,2018-06-20 11:43:31,2018-06-28 16:24:35,2018-07-18
OLLjAyjGntvG,KRONM1dA2lfQ,delivered,2018-07-06 18:17:25,2018-07-07 05:00:07,2018-07-11 14:15:24,2018-07-19
KJxxYx3EGV4B,k4jj7bTV7KmF,delivered,2018-07-13 09:11:10,2018-07-13 09:26:14,2018-07-24 23:04:00,2018-08-16
mFXys1P5pvQ5,8pUqAdsQsQDb,delivered,2018-06-05 19:00:39,2018-06-05 19:54:42,2018-06-08 17:36:49,2018-07-19
Ku21hqzA50fH,DpynHQ1oNPfb,delivered,2018-07-20 21:19:51,2018-07-20 21:30:45,2018-08-16 21:59:01,2018-08-31
9D8fitQjsM9C,bh2cF3JmJ2t9,delivered,2018-08-03 08:40:58,2018-08-03 08:55:20,2018-08-13 20:48:30,2018-08-27
v6e0KeIp6TR0,OQzGE68TCNmT,delivered,2018-07-27 05:30:50,2018-07-27 05:45:09,2018-08-08 16:08:33,2018-08-15
HWqnn5IXITK4,DWCmlJ4EG7eX,delivered,2018-08-12 12:57:32,2018-08-12 13:05:12,2018-08-14 19:11:44,2018-08-20
Ov4oeDoDBLDi,uriYakkXSNmi,delivered,2018-06-27 19:37:59,2018-06-29 02:53:13,2018-07-04 17:48:46,2018-07-23
BCY4SRQsss8K,xtxu1WMCyvol,delivered,2018-05-08 22:31:03,2018-05-08 22:54:28,2018-05-15 16:58:29,2018-05-23
FIaJsapwoV1R,C3kJ70a7fjuS,delivered,2018-07-24 15:07:29,2018-07-25 15:04:30,2018-07-30 16:18:32,2018-08-14
FH9eB1V2z40G,PJpmhdRKHSg5,delivered,2018-05-14 16:37:43,2018-05-14 16:53:00,2018-05-25 20:52:38,2018-06-07
eu4dd2aRYj3o,5MyD7VKiGpIv,delivered,2018-05-17 21:53:08,2018-05-18 04:35:51,2018-06-01 22:28:32,2018-06-06
fbxwlTI9qHcB,PiJQSSWWQHbm,delivered,2018-06-30 12:14:21,2018-07-05 16:27:53,2018-07-11 14:52:43,2018-08-01
cDMJrGrrOoYt,wBra6P86wElz,delivered,2018-08-09 00:06:28,2018-08-09 00:15:30,2018-08-15 18:21:24,2018-08-23
QV7X4FVpuyAr,rmFc8ZT8QAFE,delivered,2018-08-06 22:54:52,2018-08-07 22:50:21,2018-08-16 21:11:49,2018-08-17
fmlplnDdZ8Oz,U109zXgPrpe7,delivered,2018-08-12 11:55:11,2018-08-12 12:05:12,2018-08-18 12:32:45,2018-08-31
sye2YNO5Uu6J,wFK1Lopl99Ne,delivered,2018-05-18 16:44:26,2018-05-22 07:55:17,2018-06-01 21:09:41,2018-06-04
no1GZs08Zd41,wY6AtOwM7wGD,delivered,2018-08-11 16:02:08,2018-08-11 16:40:05,2018-08-24 17:18:52,2018-09-10
QMdfpILdzGOX,Xut3FvRmZXLN,delivered,2018-06-07 22:32:24,2018-06-07 22:55:51,2018-06-18 14:31:22,2018-07-17
TQc1grf246nI,z89ozaKkDtmV,delivered,2018-07-19 14:00:02,2018-07-20 05:05:14,2018-07-26 16:28:34,2018-08-06
G0fNhWSqsZb7,NfUJUoFeIoIR,delivered,2018-07-13 12:01:24,2018-07-13 12:10:20,2018-07-23 21:59:33,2018-08-01
9UCJ8BRjEgot,f1VBybG7mc8B,delivered,2018-08-02 20:29:49,2018-08-02 20:44:14,2018-08-15 22:53:35,2018-08-27
TymnnOhZXawd,kjxp6KAhtIrb,delivered,2018-08-09 12:13:17,2018-08-09 14:30:29,2018-08-23 17:51:32,2018-09-19
1ZvUvh9sKC3s,9OTVLUcI3AW4,delivered,2018-06-21 19:42:08,2018-06-21 19:58:35,2018-06-27 12:30:07,2018-07-12
2bK5G1aq5MJc,cZEYe5ZKG6Ze,delivered,2018-06-25 11:31:42,2018-06-25 11:57:45,2018-07-11 18:27:51,2018-07-23
vPV8OMoC51eh,Nsa1cccryn3Q,shipped,2018-05-24 13:19:53,2018-05-25 18:58:30,,2018-06-26
k7u4RM3C6ESy,9HC2BqZ8O7Gy,delivered,2018-07-24 10:04:11,2018-07-24 11:24:33,2018-08-02 19:51:46,2018-08-28
zKT26fKT4P90,GMz9WKA2YsqR,delivered,2018-08-15 22:13:43,2018-08-16 22:10:18,2018-08-28 22:48:52,2018-09-14
zSyk19rBT584,YO4u5XyXFWQs,delivered,2018-05-03 06:41:55,2018-05-03 07:23:27,2018-05-10 18:04:17,2018-05-28
9gez7iVvh2oX,CFLESwh13Z7B,delivered,2018-06-15 15:41:22,2018-06-15 16:19:23,2018-06-22 18:09:37,2018-07-18
5mcR9y7YNybJ,BRLLIQSyAdJL,delivered,2018-05-07 20:27:12,2018-05-07 20:51:25,2018-05-11 23:47:00,2018-05-17
4EHBweGbQglj,MLaGQ4tVPTpk,delivered,2018-06-20 15:05:32,2018-06-20 15:19:37,2018-06-25 17:36:37,2018-07-16
pgnfFcOqhJXi,quvutbefzFWu,delivered,2018-05-28 18:16:19,2018-05-28 18:36:12,2018-06-14 00:19:36,2018-07-16
2cpMWJDLf8YU,pQ3sUmtk40Zy,delivered,2018-05-15 16:10:38,2018-05-15 16:35:56,2018-05-17 14:51:28,2018-06-01
KtF2SNhs2cf4,WGRkXTEm8Xj5,delivered,2018-06-21 22:19:27,2018-06-21 22:38:24,2018-06-27 17:08:44,2018-07-17
nMw7sLGXVk83,d1UPmBLHWh6G,delivered,2018-07-05 14:15:08,2018-07-05 16:30:56,2018-07-25 13:58:28,2018-08-07
t9bHdOVkt5ge,KC8GYZZaxJut,delivered,2018-05-26 18:25:53,2018-05-26 18:35:12,2018-05-30 17:42:12,2018-06-28
P6EyxUbVuDxu,cFrGmXyMPF9R,delivered,2018-05-22 09:35:17,2018-05-23 02:38:19,2018-06-04 17:48:32,2018-06-08
7TzFiThWRT3F,qKwKHRKPGiZj,delivered,2018-08-06 13:32:49,2018-08-08 04:35:17,2018-08-15 18:26:42,2018-08-22
Br3BxsV4ddNl,chXzj02yc00n,delivered,2018-08-03 21:46:07,2018-08-07 04:31:13,2018-08-14 19:21:40,2018-08-20
ZXMc7s24B1Ju,IU4TvlloI5MV,delivered,2018-05-19 21:59:08,2018-05-22 09:14:27,2018-06-08 18:52:15,2018-06-08
ftwEOwGaPnU7,7ofQy5P5ZfTe,delivered,2018-07-29 16:19:32,2018-08-01 16:31:44,2018-08-08 00:42:42,2018-08-08
AstXHRBYewOu,jlWd6NeMqw1j,delivered,2018-06-20 13:25:19,2018-06-20 13:38:35,2018-06-27 20:33:20,2018-07-18
Df8FWpOGyLxV,RoIfzwKM1yvo,delivered,2018-05-01 11:00:04,2018-05-03 04:15:19,2018-05-15 21:52:01,2018-05-28
EXRcqhCEbk2u,uGn81rIzM78b,delivered,2018-07-04 14:42:06,2018-07-05 16:35:08,2018-07-07 12:42:00,2018-07-18
QgXLbqtRIYJc,wXlHYtczLH4a,delivered,2018-05-15 18:25:54,2018-05-15 18:59:09,2018-05-17 21:18:31,2018-05-23
ct5kDFx3lQwo,tvBnqB57rQrh,delivered,2018-06-08 16:44:54,2018-06-08 20:32:18,2018-06-26 18:46:37,2018-07-05
hIMwqW3ftMfO,GUzQDRVGumYn,delivered,2018-08-05 14:07:33,2018-08-05 14:24:25,2018-08-09 18:51:55,2018-08-15
4VJ7J1V9dr24,DJd02UOYpLYO,delivered,2018-06-18 15:51:10,2018-06-18 16:40:53,2018-06-25 14:05:39,2018-07-20
Zew6B3QoUfi9,nV0JCMMQeJVA,delivered,2018-07-28 18:11:21,2018-07-28 18:25:14,2018-07-31 17:11:03,2018-08-06
iqU2tyMIOyi9,OSFTagz8LUCX,delivered,2018-07-24 02:10:35,2018-07-25 02:35:15,2018-07-30 17:50:44,2018-08-08
uLRXIHs701fv,exf8fZGIpjaw,delivered,2018-06-03 00:42:34,2018-06-03 00:55:21,2018-06-11 11:12:03,2018-07-12
HYNAXgd1ufhl,i2jskDG3gKs0,delivered,2018-08-06 09:18:32,2018-08-06 09:35:09,2018-08-14 18:56:42,2018-08-23
M3YhJss5VxJA,2Wzq7dBPdMSR,delivered,2018-07-13 13:55:49,2018-07-17 07:31:31,2018-07-26 15:03:12,2018-08-08
nVOd8unSYt5x,BvXcMOv4wnC7,delivered,2018-07-09 15:40:27,2018-07-11 08:25:47,2018-08-01 19:33:35,2018-07-26
sRSlDVv6OJ0n,MTBUBxEwy7WS,delivered,2018-05-30 10:44:23,2018-05-30 10:56:31,2018-06-13 18:48:50,2018-07-13
fjsJK8u5ITRy,or7McZuf6bad,delivered,2018-06-08 00:37:44,2018-06-08 00:56:39,2018-06-11 20:22:46,2018-06-26
I4xScLeSHP4Y,lYUoEtPmJ3Ec,delivered,2018-05-08 14:33:38,2018-05-10 02:57:26,2018-05-17 16:38:25,2018-05-28
L9SdJmy8vizU,d4Vi7ZGQFRHw,delivered,2018-07-26 22:20:02,2018-07-26 22:30:18,2018-07-28 11:20:22,2018-08-07
